ds,Amb,Wal In
01/01/2017 00:00,5,1
01/01/2017 01:00,13,5
01/01/2017 02:00,9,3
01/01/2017 03:00,8,3
01/01/2017 04:00,4,0
01/01/2017 05:00,11,1
01/01/2017 06:00,0,3
01/01/2017 07:00,2,3
01/01/2017 08:00,7,2
01/01/2017 09:00,4,8
01/01/2017 10:00,2,11
01/01/2017 11:00,3,13
01/01/2017 12:00,6,20
01/01/2017 13:00,6,18
01/01/2017 14:00,4,21
01/01/2017 15:00,5,14
01/01/2017 16:00,3,13
01/01/2017 17:00,7,14
01/01/2017 18:00,7,13
01/01/2017 19:00,4,11
01/01/2017 20:00,6,7
01/01/2017 21:00,7,11
01/01/2017 22:00,8,3
01/01/2017 23:00,6,4
02/01/2017 00:00,6,4
02/01/2017 01:00,7,4
02/01/2017 02:00,4,3
02/01/2017 03:00,1,0
02/01/2017 04:00,2,2
02/01/2017 05:00,5,0
02/01/2017 06:00,1,0
02/01/2017 07:00,0,2
02/01/2017 08:00,7,5
02/01/2017 09:00,3,9
02/01/2017 10:00,9,20
02/01/2017 11:00,5,21
02/01/2017 12:00,9,25
02/01/2017 13:00,7,28
02/01/2017 14:00,12,18
02/01/2017 15:00,4,18
02/01/2017 16:00,5,13
02/01/2017 17:00,9,11
02/01/2017 18:00,5,13
02/01/2017 19:00,5,14
02/01/2017 20:00,2,9
02/01/2017 21:00,3,7
02/01/2017 22:00,4,11
02/01/2017 23:00,4,6
03/01/2017 00:00,5,4
03/01/2017 01:00,6,1
03/01/2017 02:00,3,4
03/01/2017 03:00,5,1
03/01/2017 04:00,5,2
03/01/2017 05:00,3,1
03/01/2017 06:00,0,1
03/01/2017 07:00,3,0
03/01/2017 08:00,3,6
03/01/2017 09:00,4,15
03/01/2017 10:00,8,29
03/01/2017 11:00,9,20
03/01/2017 12:00,7,16
03/01/2017 13:00,12,15
03/01/2017 14:00,10,19
03/01/2017 15:00,5,7
03/01/2017 16:00,10,12
03/01/2017 17:00,12,26
03/01/2017 18:00,9,21
03/01/2017 19:00,9,10
03/01/2017 20:00,4,10
03/01/2017 21:00,9,9
03/01/2017 22:00,3,6
03/01/2017 23:00,5,7
04/01/2017 00:00,4,4
04/01/2017 01:00,4,2
04/01/2017 02:00,5,2
04/01/2017 03:00,2,3
04/01/2017 04:00,3,3
04/01/2017 05:00,3,1
04/01/2017 06:00,3,1
04/01/2017 07:00,7,6
04/01/2017 08:00,5,11
04/01/2017 09:00,5,19
04/01/2017 10:00,5,23
04/01/2017 11:00,9,30
04/01/2017 12:00,8,29
04/01/2017 13:00,9,12
04/01/2017 14:00,9,15
04/01/2017 15:00,9,12
04/01/2017 16:00,8,15
04/01/2017 17:00,13,13
04/01/2017 18:00,4,14
04/01/2017 19:00,9,10
04/01/2017 20:00,7,15
04/01/2017 21:00,5,4
04/01/2017 22:00,10,4
04/01/2017 23:00,4,0
